Date,Gender,Faculty ,Year,Deliciousness,Frequency,NoodleTypes,BrothTypes,Meats,RiceTypes,SideDish,NumberOfTimesEatingRicePerAWeek,NumberOfTimesEatingNoodlePerAWeek,Pay
2567/02/17 5:04:42 หลังเที่ยง GMT+7,male,faculty of science at siracha,1,noodle,noodle,vermicelli,spicy soup,sea animals,thai jasmine rice,ข้าวกระเพราหมูกรอบ,9,12,180
2567/02/17 5:57:27 หลังเที่ยง GMT+7,male,faculty of science at siracha,2,rice,rice,egg noodles,nam tok,pig,healthy rice,อกไก่,14,7,35
2567/02/17 6:11:05 หลังเที่ยง GMT+7,female,faculty of science at siracha,2,noodle,noodle,vermicelli,yentafo,pig,thai jasmine rice,ข้าวกระเพราหมูกรอบไข่ดาว,3,4,150
2567/02/17 6:18:40 หลังเที่ยง GMT+7,female,faculty of science at siracha,2,noodle,rice,small noodles,spicy soup,pig,thai jasmine rice,ผัดพริกเเกงหมูชิ้น,14,4,100
2567/02/17 6:19:39 หลังเที่ยง GMT+7,female,faculty of science at siracha,2,noodle,noodle,instant noodles,spicy soup,pig,thai jasmine rice,ผัดผัก,14,7,200
2567/02/17 6:20:18 หลังเที่ยง GMT+7,female,faculty of management sciences,1,noodle,noodle,small noodles,spicy soup,pig,sticky rice,ข้าวกะเพราหมูสับ,10,5,80
2567/02/17 6:20:18 หลังเที่ยง GMT+7,female,faculty of science at siracha,1,noodle,noodle,small noodles,nam tok,pig,thai jasmine rice,ข้าวผัด,4,5,30
2567/02/17 6:21:15 หลังเที่ยง GMT+7,male,faculty of science at siracha,2,noodle,rice,vermicelli,spicy soup,pig,thai jasmine rice,กระเพราเลิฟเวอร์,10,5,200
2567/02/17 6:40:25 หลังเที่ยง GMT+7,male,faculty of science at siracha,1,noodle,noodle,small noodles,clear soup,pig,healthy rice,ข้าวมันไก่ทอด,7,4,40
2567/02/17 6:57:42 หลังเที่ยง GMT+7,female,faculty of science at siracha,1,rice,rice,vermicelli,spicy soup,beef,thai jasmine rice,กะเพราหมูสับไข่ดาวสุกๆ,5,5,180
2567/02/17 9:07:00 หลังเที่ยง GMT+7,male,faculty of science at siracha,2,rice,rice,kuay jab,nam tok,beef,sticky rice,ข้าวหมูกรอบกระเทียมพริกไทย,13,1,100
2567/02/17 9:08:47 หลังเที่ยง GMT+7,male,faculty of science at siracha,1,rice,rice,instant noodles,clear soup,beef,thai jasmine rice,ผัดพริกเกลือหมูกรอบไข่ดาว,4,3,100
2567/02/17 10:10:57 หลังเที่ยง GMT+7,male,faculty of science at siracha,1,rice,rice,not eat,don't like,chicken,thai jasmine rice,หมูกระเทียม,18,0,100
2567/02/18 1:22:49 หลังเที่ยง GMT+7,female,faculty of management sciences,1,rice,rice,small noodles,spicy soup,pig,thai jasmine rice,ข้าวกระเพราหมูชิ้น,21,5,100
2567/02/18 3:55:57 หลังเที่ยง GMT+7,male,faculty of science at siracha,1,rice,rice,small noodles,nam tok,beef,thai jasmine rice,ข้าวกระเพราเนิ้อสับไข่ดาวเเซ่บๆ,18,3,60
2567/02/19 10:58:05 ก่อนเที่ยง GMT+7,female,faculty of science at siracha,4,noodle,noodle,small noodles,nam tok,beef,healthy rice,ข้าวไข่เจียว,4,6,80
2567/02/19 11:00:12 ก่อนเที่ยง GMT+7,female,faculty of management sciences,4,noodle,noodle,small noodles,nam tok,pig,thai jasmine rice,ข้าวกระเพราหมูกรอบไข่ดาว,14,5,150
2567/02/19 11:00:45 ก่อนเที่ยง GMT+7,female,faculty of science at siracha,4,noodle,rice,egg noodles,nam tok,pig,thai jasmine rice,กระเพราหมูกรอบ,21,5,80
2567/02/19 11:00:54 ก่อนเที่ยง GMT+7,female,faculty of management sciences,2,noodle,noodle,vermicelli,spicy soup,sea animals,thai jasmine rice,กะหล่ำปลีผัดน้ำปลา,8,9,150
2567/02/19 11:00:54 ก่อนเที่ยง GMT+7,female,faculty of science at siracha,4,noodle,noodle,glass noodles,clear soup,pig,thai jasmine rice,ข้าวไก่กระเทียม,21,15,40
2567/02/19 11:00:57 ก่อนเที่ยง GMT+7,female,faculty of management sciences,2,rice,rice,small noodles,spicy soup,pig,thai jasmine rice,ข้าวผัดหมูชิ้น,10,4,100
2567/02/19 11:01:01 ก่อนเที่ยง GMT+7,female,faculty of management sciences,2,rice,rice,vermicelli,spicy soup,pig,thai jasmine rice,ข้าวกะหล้ำปลีผัดน้ำปลา,13,1,90
2567/02/19 11:01:02 ก่อนเที่ยง GMT+7,female,faculty of management sciences,2,rice,rice,glass noodles,nam tok,sea animals,thai jasmine rice,ข้าวกะเพราหมึก,12,2,90
2567/02/19 11:01:26 ก่อนเที่ยง GMT+7,male,faculty of engineering at sriracha,2,rice,rice,vermicelli,nam tok,pig,thai jasmine rice,กะเพราหมูกรอบ,7,7,150
